"Part";"Value";"Device";"Package";"Description";"EAGLEUP";"MPN";"PN";"VALUE";
"C1";"12pf";"CERAMIC-12PF-50V-5%-NPO(0402)";"C0402";"302010049";"";"CC0402JRNPO9BN120";"";"12pf";
"C2";"12pf";"CERAMIC-12PF-50V-5%-NPO(0402)";"C0402";"302010049";"";"CC0402JRNPO9BN120";"";"12pf";
"C3";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"100nf";
"C4";"10nf";"CERAMIC-10NF-50V-10%-X7R(0603)";"C0603";"302010140";"";"CC0603KRX7R9BB103";"";"10nf";
"C5";"47uf";"TANTALUM-SMD-47UF-6.3V(AVX-A)";"AVX-A";"302020005";"";"TAJA476*006#NJ";"";"47uf";
"C6";"100uf";"TANTALUM-SMD-100UF-10V(AVX-B)";"AVX-B";"302020015";"";"TAJB107M010#NJ";"";"100uf";
"C7";"10uf";"CERAMIC-10UF-25V-10%-X5R(0805)";"C0805";"302010178";"";"CC0805KKX5R8BB106";"302010178";"10uf";
"C8";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"100nf";
"C9";"100nF";"CAP-0402";"C0402";"Ceramic Capacitors";"";"";"302010004";"";
"C10";"4.7uf";"CERAMIC-4.7UF-10V-10%-X5R(0603)";"C0603";"302010111";"";"CC0603KRX5R6BB475";"";"4.7uf";
"C11";"10uf";"CERAMIC-10UF-25V-10%-X5R(0805)";"C0805";"302010178";"";"CC0805KKX5R8BB106";"302010178";"10uf";
"C12";"100nF";"CAP-0402";"C0402";"Ceramic Capacitors";"";"";"302010004";"";
"C13";"10uf";"CERAMIC-10UF-10V-10%-X5R(0603)";"C0603";"302010103";"";"CC0603KRX5R6BB106";"";"10uf";
"C14";"1uf";"CERAMIC-1UF-25V-10%-X7R(0603)";"C0603";"302010139";"";"CC0603KRX7R8BB105";"";"1uf";
"D1";"20V-1A";"SMD-DIODE-SCHOTTKY-20V-1A(SOD-123)";"SOD-123";"304020034";"";"B5819W";"";"20V-1A";
"D2";"20V-1A";"SMD-DIODE-SCHOTTKY-20V-1A(SOD-123)";"SOD-123";"304020034";"";"B5819W";"";"20V-1A";
"D3";"YELLOW-0603";"SMD-LED-CLEAR-YELLOW(0603)";"LED-0603";"304090044";"";"19-217-Y5C-AM1N1VY-3T";"";"YELLOW-0603";
"D4";"GREEN-0603";"SMD-LED-CLEAR-GREEN(0603)";"LED-0603";"304090043";"";"19-217-G7C-AN1P2-3T";"";"GREEN-0603";
"J1";"MICRO-USB";"MICRO-USB5+4P'5+4P'";"MICRO-USB5+4P-SMD-0.65-B";"5+4P-SMD-0.65-B:320010000;5+2P-SMD-0.65-AB:340032001";"USB-MICROB";"2.54mm";"";"";
"J2";"GREEN-2P-3.5";"SCREW-TERMINAL-GREEN(2P-3.5)";"H2-3.5-7.0X7.0MM";"320110028";"";"";"";"GREEN-2P-3.5";
"J3";"4P-2.0";"GROVE-CONNECTOR-DIP(4P-2.0)";"HW4-2.0";"320110033";"";"";"";"4P-2.0";
"J4";"4P-2.0";"GROVE-CONNECTOR-DIP(4P-2.0)";"HW4-2.0";"320110033";"";"";"";"4P-2.0";
"J5";"4P-2.0";"GROVE-CONNECTOR-DIP(4P-2.0)";"HW4-2.0";"320110033";"";"";"";"4P-2.0";
"J6";"2.0MM-90D";"CONN-HEADER-PH-SIDE-(2P-2.0MM)'90D'";"H2-2.0-90D";"320110027";"";"";"";"2.0MM-90D";
"J7";"2P-2.54";"DIP-WHITE-MALE-HEADER-VERT(2P-2.54)";"H2-2.54";"320020037";"";"P125-1102A0BS116A3";"";"2P-2.54";
"J8";"2P-2.54";"DIP-WHITE-MALE-HEADER-VERT(2P-2.54)";"H2-2.54";"320020037";"";"P125-1102A0BS116A3";"";"2P-2.54";
"J9";"1x14_MkrRight";"CONN_14LOCK";"1X14_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"320020034";"";"";
"J10";"1x14_MkrRight";"CONN_14LOCK";"1X14_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"320020034";"";"";
"JP1";"ArduCam";"MILLER_PINHD-1X8LOCK";"MILLER_1X08-LOCK";"PIN HEADER";"";"";"";"";
"L1";"1uH";"INDUCTOR/FERRITE-BEAD'0603'";"L0603";"";"";"";"303010110";"";
"Q1";"S8050";"SMD-TRANSISTORS-NPN-25V-500MW-S8050(SOT-23)";"SOT-23";"305010017";"";"S8050";"";"S8050";
"Q2";"S8050";"SMD-TRANSISTORS-NPN-25V-500MW-S8050(SOT-23)";"SOT-23";"305010017";"";"S8050";"";"S8050";
"Q3";"S8050";"SMD-TRANSISTORS-NPN-25V-500MW-S8050(SOT-23)";"SOT-23";"305010017";"";"S8050";"";"S8050";
"R1";"3.3K";"SMD-RES-3.3K-5%-1/10W(0603)";"R0603";"301010112";"";"";"";"";
"R2";"0R";"SMD-RES-0R-5%-1/10W(0603)";"R0603";"301010292";"";"RC0603JR-070RL";"";"0R";
"R3";"1K 1/10W";"SMD-RES-1K-5%-1/10W(0603)";"R0603";"301010291";"";"RC0603JR-071KL";"";"1K 1/10W";
"R4";"100K";"SMD-RES-100K-1%-1/16W(0402)";"R0402";"301010456";"";"RC0402FR-07100KL";"301010666";"100K";
"R5";"22k";"SMD-RES-22K-1%-1/16W(0402)";"R0402";"";"";"RC0402FR-0722KL";"";"22k";
"R6";"10K";"SMD-RES-10K-5%-1/(0402)";"R0402";"301010004";"";"RC0402JR-0710KL";"";"10K";
"R7";"10K";"SMD-RES-10K-5%-1/(0402)";"R0402";"301010004";"";"RC0402JR-0710KL";"";"10K";
"R8";"100R";"SMD-RES-100R-5%-1/10W(0603)";"R0603";"301010090";"";"RC0603JR-07100RL";"";"100R";
"R9";"1K 1/10W";"SMD-RES-1K-5%-1/10W(0603)";"R0603";"301010291";"";"RC0603JR-071KL";"";"1K 1/10W";
